name,latitude,longitude,country,state
Bayandhalli,12.9779,77.5688,India,Karnātaka
Sondekoppa,13,77.3667,India,Karnātaka
Babura,25.0851,87.1092,India,Bihār
Mādavar,13.0525,77.4732,India,Karnātaka
Kadabgeri,12.9965,77.4331,India,Karnātaka
Nanmangalam,12.9381,80.1753,India,Tamil Nādu
Taliganja,22.5041,88.3598,India,West Bengal
Tarchha,25.1116,87.0964,India,Bihār
Belgharia,22.6581,88.3852,India,West Bengal
Kammanhalli,13.0155,77.6381,India,Karnātaka
Ambāpuram,16.599,80.8938,India,Andhra Pradesh
Sonnappanhalli,13.1557,77.6179,India,Karnātaka
Kedihāti,22.6508,88.4608,India,West Bengal
Doddajīvanhalli,13.0086,77.6143,India,Karnātaka
Simli Murārpur,25.5792,85.2401,India,Bihār
Sonāwān,25.5445,85.2387,India,Bihār
Devanandapur,22.9326,88.3729,India,West Bengal
Tribeni,22.9867,88.3987,India,West Bengal
Huttanhalli,13.1651,77.6512,India,Karnātaka
Nathupur,25.5163,85.2544,India,Bihār
Bāli,25.481,85.2227,India,Bihār
Vājarhalli,13.1022,77.4111,India,Karnātaka
Alija Kotla,17.2333,78.55,India,Telangāna
Saino,25.1134,87.0108,India,Bihār
Shekhpura,25.5725,85.1428,India,Bihār
Cāchohalli,13.001,77.4717,India,Karnātaka
Andheri,19.2104,73.0464,India,Mahārāshtra
Nārāyanpur Kola,25.1293,87.0076,India,Bihār
Gyan Chak,25.5496,85.2423,India,Bihār
Kasgatpur,13.1101,77.5045,India,Karnātaka
Kitanelli,13.0095,77.4191,India,Karnātaka
Harchandi,25.1,87.0442,India,Bihār
Santoshpur,22.465,88.2193,India,West Bengal
Bendravādi,12.3636,76.9137,India,Karnātaka
Kodagihalli,12.9771,77.4651,India,Karnātaka
Harna Buzurg,25.0981,87.0148,India,Bihār
Mailanhalli,13.1863,77.6963,India,Karnātaka
Sultānpur,25.5248,85.2507,India,Bihār
Adakimāranhalli,13.0633,77.4417,India,Karnātaka
